@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %01s "s"
@ ORIGIN           %18s "5.07.00 Windows 64"
@ DATE             %08s "02/12/21"
@ TIME             %08s "16.49.15"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "QF4.1"             "QUADRUPOLE"                     31.66               0.47                  0       -12.22150837                  0        27.48606072      -0.9424777961                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF4.1.ERR"         "MULTIPOLE"                      31.66                  0                  0       -12.22150837                  0        27.48606072      -0.9424777961                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_12"          "DRIFT"                          32.61               0.95                  0       -12.99007452                  0        28.04445671      -0.9424777961                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5A.1.ERR"         "MULTIPOLE"                      32.61                  0                  0       -12.99007452                  0        28.04445671      -0.9424777961                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM5A.1.ERR"        "KICKER"                         32.61                  0                  0       -12.99007452                  0        28.04445671      -0.9424777961                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5A.1"             "SBEND"                          34.81                2.2       0.1570796327       -14.86395498                  0        29.19277214       -1.099557429                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM5A.1.ERR"        "KICKER"                         34.81                  0                  0       -14.86395498                  0        29.19277214       -1.099557429                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5A.1.ERR"         "MULTIPOLE"                      34.81                  0                  0       -14.86395498                  0        29.19277214       -1.099557429                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_13"          "DRIFT"                          35.51                0.7                  0       -15.48765955                  0        29.51056549       -1.099557429                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5B.1.ERR"         "MULTIPOLE"                      35.51                  0                  0       -15.48765955                  0        29.51056549       -1.099557429                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM5B.1.ERR"        "KICKER"                         35.51                  0                  0       -15.48765955                  0        29.51056549       -1.099557429                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5B.1"             "SBEND"                          37.71                2.2       0.1570796327       -17.51810555                  0        30.35160376       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM5B.1.ERR"        "KICKER"                         37.71                  0                  0       -17.51810555                  0        30.35160376       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M5B.1.ERR"         "MULTIPOLE"                      37.71                  0                  0       -17.51810555                  0        30.35160376       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_14"          "DRIFT"                          38.66               0.95                  0       -18.42160924                  0        30.64516991       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD5.1.ERR"         "MULTIPOLE"                      38.66                  0                  0       -18.42160924                  0        30.64516991       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD5.1"             "QUADRUPOLE"                     39.13               0.47                  0        -18.8686058                  0        30.79040789       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD5.1.ERR"         "MULTIPOLE"                      39.13                  0                  0        -18.8686058                  0        30.79040789       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV5.1"           "VMONITOR"                      39.395              0.265                  0       -19.12063578                  0         30.8722974       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST5.1"             "KICKER"                        39.715               0.32                  0       -19.42497387                  0        30.97118284       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH5.1"           "HMONITOR"                       39.98              0.265                  0       -19.67700384                  0        31.05307234       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF5.1.ERR"         "MULTIPOLE"                      39.98                  0                  0       -19.67700384                  0        31.05307234       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF5.1"             "QUADRUPOLE"                     40.45               0.47                  0       -20.12400041                  0        31.19831033       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF5.1.ERR"         "MULTIPOLE"                      40.45                  0                  0       -20.12400041                  0        31.19831033       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_15"          "DRIFT"                           41.4               0.95                  0        -21.0275041                  0        31.49187647       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M6A.1.ERR"         "MULTIPOLE"                       41.4                  0                  0        -21.0275041                  0        31.49187647       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM6A.1.ERR"        "KICKER"                          41.4                  0                  0        -21.0275041                  0        31.49187647       -1.256637061                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M6A.1"             "SBEND"                           43.6                2.2       0.1570796327       -23.16451931                  0        32.00492843       -1.413716694                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM6A.1.ERR"        "KICKER"                          43.6                  0                  0       -23.16451931                  0        32.00492843       -1.413716694                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M6A.1.ERR"         "MULTIPOLE"                       43.6                  0                  0       -23.16451931                  0        32.00492843       -1.413716694                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_16"          "DRIFT"                           44.3                0.7                  0       -23.85590115                  0        32.11443256       -1.413716694                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M6B.1.ERR"         "MULTIPOLE"                       44.3                  0                  0       -23.85590115                  0        32.11443256       -1.413716694                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM6B.1.ERR"        "KICKER"                          44.3                  0                  0       -23.85590115                  0        32.11443256       -1.413716694                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M6B.1"             "SBEND"                           46.5                2.2       0.1570796327       -26.04686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM6B.1.ERR"        "KICKER"                          46.5                  0                  0       -26.04686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M6B.1.ERR"         "MULTIPOLE"                       46.5                  0                  0       -26.04686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_17"          "DRIFT"                          47.45               0.95                  0       -26.99686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD6.1.ERR"         "MULTIPOLE"                      47.45                  0                  0       -26.99686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD6.1"             "QUADRUPOLE"                     47.92               0.47                  0       -27.46686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD6.1.ERR"         "MULTIPOLE"                      47.92                  0                  0       -27.46686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV6.1"           "VMONITOR"                      48.185              0.265                  0       -27.73186516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
